title,release,revenue,budget,rating,genres,country
The Swan Princess,1994-11-18,9771658.0,35000000.0,6.5,Animation,US
Stargate,1994-10-27,196567262.0,55000000.0,6.8,Action,France
The Santa Clause,1994-11-10,189833357.0,22000000.0,6.3,Fantasy,US
The Shawshank Redemption,1994-09-23,28341469.0,25000000.0,8.5,Drama,US
Tank Girl,1995-03-31,4064495.0,25000000.0,5.5,Action,US
Star Trek: Generations,1994-11-17,120000000.0,38000000.0,6.4,Science Fiction,US
Tales from the Hood,1995-05-24,12000000.0,6000000.0,5.4,Crime,US
What's Eating Gilbert Grape,1993-12-17,10032765.0,11000000.0,7.5,Romance,US
Virtuosity,1995-08-04,24048000.0,30000000.0,5.4,Action,US
While You Were Sleeping,1995-04-21,182057016.0,17000000.0,6.5,Comedy,US
Ace Ventura: Pet Detective,1994-02-04,107217396.0,15000000.0,6.4,Comedy,US
Bitter Moon,1992-09-02,1862805.0,5000000.0,7.0,Thriller,France
Clear and Present Danger,1994-08-03,215887717.0,62000000.0,6.4,Action,US
The Client,1994-07-20,117615211.0,45000000.0,6.4,Drama,US
The Crow,1994-05-11,94000000.0,15000000.0,7.3,Fantasy,US
The Flintstones,1994-05-26,341631208.0,46000000.0,5.0,Fantasy,US
Forrest Gump,1994-07-06,677945399.0,55000000.0,8.2,Comedy,US
Four Weddings and a Funeral,1994-03-09,254700832.0,6000000.0,6.6,Comedy,UK
I Love Trouble,1994-06-29,61947267.0,45000000.0,5.3,Action,US
The Lion King,1994-06-23,788241776.0,45000000.0,8.0,Family,US
Little Buddha,1993-12-01,4858139.0,35000000.0,6.0,Drama,France
New Nightmare,1994-10-13,18090181.0,14000000.0,6.4,Horror,US
The Mask,1994-07-29,351583407.0,23000000.0,6.6,Romance,US
The Naked Gun 33⅓: The Final Insult,1994-03-18,51132598.0,30000000.0,6.4,Comedy,US
Reality Bites,1994-02-18,20079850.0,11500000.0,6.5,Drama,US
Red Rock West,1993-07-08,2000000.0,8000000.0,6.4,Crime,US
Speed,1994-06-09,350448145.0,30000000.0,6.8,Action,US
True Lies,1994-07-14,378882411.0,115000000.0,6.8,Action,US
Wyatt Earp,1994-06-24,25052000.0,63000000.0,6.5,Drama,US
A Low Down Dirty Shame,1994-11-23,29392418.0,10000000.0,6.0,Action,US
In the Mouth of Madness,1994-12-12,8946600.0,8000000.0,7.1,Horror,US
The Age of Innocence,1993-09-17,32255440.0,34000000.0,7.0,Drama,US
The Air Up There,1994-01-07,21011500.0,17080000.0,5.1,Comedy,US
Beverly Hills Cop III,1994-05-24,119208989.0,50000000.0,5.5,Action,US
Body Snatchers,1993-06-09,428868.0,13000000.0,5.8,Horror,US
A Bronx Tale,1993-09-14,17287898.0,22000000.0,7.4,Drama,US
Carlito's Way,1993-11-10,36516012.0,30000000.0,7.7,Action,US
Cliffhanger,1993-05-28,255000211.0,70000000.0,6.1,Action,France
Color of Night,1994-08-19,19726050.0,40000000.0,5.4,Drama,US
Dazed and Confused,1993-09-24,7993039.0,6900000.0,7.4,Comedy,US
Demolition Man,1993-10-08,159055768.0,57000000.0,6.4,Crime,US
For Love or Money,1993-10-01,11146270.0,30000000.0,5.7,Comedy,US
The Firm,1993-06-30,270248367.0,42000000.0,6.6,Drama,US
Free Willy,1993-07-16,153698625.0,20000000.0,6.0,Family,France
The Fugitive,1993-08-06,368875760.0,44000000.0,7.2,Adventure,US
Geronimo: An American Legend,1993-12-10,18635620.0,35000000.0,5.9,History,US
Hard Target,1993-08-20,74189677.0,18000000.0,6.1,Action,US
Hot Shots! Part Deux,1993-05-21,133752825.0,25000000.0,6.2,Action,US
In the Line of Fire,1993-07-08,176997168.0,40000000.0,6.8,Action,US
In the Name of the Father,1993-12-12,65796862.0,13000000.0,7.6,Drama,UK
Jurassic Park,1993-06-11,920100000.0,63000000.0,7.6,Adventure,US
Kalifornia,1993-09-01,2395231.0,9000000.0,6.5,Thriller,US
Killing Zoe,1993-10-01,418961.0,1500000.0,6.1,Action,France
Last Action Hero,1993-06-18,137298489.0,85000000.0,6.1,Adventure,US
Manhattan Murder Mystery,1993-08-18,11285588.0,13500000.0,7.1,Comedy,US
Menace II Society,1993-05-26,27900000.0,3500000.0,7.2,Drama,US
Executive Decision,1996-03-15,121969216.0,55000000.0,5.8,Action,US
Mrs. Doubtfire,1993-11-24,441286195.0,25000000.0,7.0,Comedy,US
The Next Karate Kid,1994-07-18,15826984.0,12000000.0,4.8,Adventure,US
No Escape,1994-04-29,15340000.0,20000000.0,6.1,Action,US
A Perfect World,1993-11-24,135130999.0,30000000.0,7.2,Crime,US
Philadelphia,1993-12-22,206678440.0,26000000.0,7.6,Drama,US
Poetic Justice,1993-07-23,27515786.0,14000000.0,6.9,Drama,US
The Ref,1994-03-09,11439193.0,11000000.0,6.7,Comedy,US
The Remains of the Day,1993-11-05,23237911.0,11500000.0,7.5,Drama,UK
RoboCop 3,1993-04-17,10696210.0,22000000.0,4.2,Action,US
Robin Hood: Men in Tights,1993-07-28,35739755.0,20000000.0,6.4,Comedy,France
Romeo Is Bleeding,1993-09-13,3275585.0,11500000.0,5.7,Action,UK
Rudy,1993-09-17,22750363.0,12000000.0,7.2,Drama,US
Schindler's List,1993-11-29,321365567.0,22000000.0,8.3,Drama,US
Serial Mom,1994-04-13,7820688.0,13000000.0,6.4,Comedy,US
The Shadow,1994-07-01,48063435.0,25000000.0,5.4,Adventure,US
Sleepless in Seattle,1993-06-24,227799884.0,21000000.0,6.5,Comedy,US
Sliver,1993-05-21,116300000.0,40000000.0,4.9,Drama,US
Blade Runner,1982-06-25,33139618.0,28000000.0,7.9,Science Fiction,US
So I Married an Axe Murderer,1993-07-30,11585483.0,20000000.0,6.1,Comedy,US
Super Mario Bros.,1993-05-28,20915465.0,48000000.0,4.0,Adventure,UK
Surviving the Game,1994-04-15,7690013.0,7400000.0,6.1,Action,US
Terminal Velocity,1994-09-23,16478900.0,50000000.0,5.0,Action,US
The Nightmare Before Christmas,1993-10-09,75634409.0,18000000.0,7.6,Fantasy,US
The Three Musketeers,1993-11-11,53898845.0,30000000.0,6.2,Action,US
Tombstone,1993-12-25,56505065.0,25000000.0,7.4,Action,US
True Romance,1993-09-09,12281551.0,12500000.0,7.5,Action,US
The Pagemaster,1994-11-23,13670688.0,27000000.0,6.2,Fantasy,US
Home Alone,1990-11-09,476684675.0,18000000.0,7.1,Comedy,US
Ghost,1990-07-12,505000000.0,22000000.0,6.9,Fantasy,US
Aladdin,1992-11-25,504050219.0,28000000.0,7.4,Animation,US
Terminator 2: Judgment Day,1991-07-01,520000000.0,100000000.0,7.7,Action,France
Dances with Wolves,1990-11-09,424208848.0,22000000.0,7.6,Adventure,UK
Batman,1989-06-23,411348924.0,35000000.0,7.0,Fantasy,UK
The Silence of the Lambs,1991-02-01,272742922.0,19000000.0,8.1,Crime,US
Snow White and the Seven Dwarfs,1937-12-20,184925486.0,1488423.0,6.9,Fantasy,US
Beauty and the Beast,1991-11-13,377350553.0,25000000.0,7.5,Romance,US
Pinocchio,1940-02-23,84300000.0,2600000.0,6.9,Animation,US
Pretty Woman,1990-03-23,463000000.0,14000000.0,7.0,Romance,US
The Wild Bunch,1969-06-17,638641.0,6244087.0,7.7,Adventure,US
Fargo,1996-04-05,60611975.0,7000000.0,7.7,Crime,US
Hellraiser: Bloodline,1996-03-08,16675000.0,4000000.0,4.9,Horror,US
The Aristocats,1970-12-23,55675257.0,4000000.0,7.1,Animation,US
Primal Fear,1996-04-03,102616183.0,30000000.0,7.4,Crime,US
Courage Under Fire,1996-07-04,100860818.0,46000000.0,6.2,Drama,US
Mission: Impossible,1996-05-22,457696359.0,80000000.0,6.7,Adventure,US
DragonHeart,1996-05-31,115267375.0,57000000.0,6.4,Fantasy,US
James and the Giant Peach,1996-04-12,28921264.0,38000000.0,6.2,Adventure,US
Space Jam,1996-11-15,250200000.0,80000000.0,6.5,Animation,US
Barbarella,1968-10-10,2500000.0,9000000.0,5.7,Science Fiction,US
Mrs. Winterbourne,1996-04-19,10070000.0,25000000.0,5.5,Comedy,US
Oliver & Company,1988-11-18,74151346.0,31000000.0,6.5,Animation,US
Flipper,1996-05-17,20080020.0,25530000.0,5.3,Adventure,US
The Horseman on the Roof,1995-09-20,15000000.0,35000000.0,6.7,War,France
The Craft,1996-05-03,24769466.0,15000000.0,6.3,Drama,US
The Rock,1996-06-06,335062621.0,75000000.0,6.9,Action,US
Twister,1996-05-10,494471524.0,92000000.0,6.1,Action,US
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964-01-29,9440272.0,1800000.0,8.0,Drama,UK
Striptease,1996-06-28,113309743.0,50000000.0,4.4,Drama,US
Jack,1996-08-09,58620973.0,45000000.0,5.9,Comedy,US
Trainspotting,1996-02-23,16491080.0,4000000.0,7.8,Drama,UK
Independence Day,1996-06-25,816969268.0,75000000.0,6.7,Action,US
The Fan,1996-08-15,18626419.0,55000000.0,5.7,Drama,US
The Hunchback of Notre Dame,1996-06-21,100138851.0,100000000.0,6.8,Drama,US
The Cable Guy,1996-06-10,102825796.0,47000000.0,5.7,Comedy,US
Kingpin,1996-07-04,25023434.0,27000000.0,6.7,Comedy,US
The Nutty Professor,1996-06-26,128769345.0,54000000.0,5.4,Fantasy,US
Daylight,1996-12-06,159212469.0,80000000.0,5.8,Action,US
Lone Star,1996-06-21,13269963.0,5000000.0,6.9,Drama,US
Phenomenon,1996-07-05,152036382.0,32000000.0,6.2,Drama,US
She's the One,1996-08-26,9482579.0,3500000.0,5.7,Comedy,US
A Time to Kill,1996-07-24,152266007.0,40000000.0,7.0,Crime,US
Fled,1996-07-19,17193231.0,25000000.0,5.2,Action,US
The First Wives Club,1996-09-20,116400000.0,26000000.0,6.5,Comedy,US
Ransom,1996-11-08,309492681.0,80000000.0,6.4,Action,US
Chain Reaction,1996-08-02,60209334.0,50000000.0,5.3,Action,US
Matilda,1996-08-02,33459416.0,36000000.0,6.9,Comedy,US
Emma,1996-08-02,22231658.0,6000000.0,6.7,Drama,US
The Crow: City of Angels,1996-08-29,17917287.0,13000000.0,5.2,Action,US
Bordello of Blood,1996-08-16,5600000.0,15000000.0,5.0,Horror,US
Escape from L.A.,1996-08-09,42277365.0,50000000.0,5.6,Action,US
Basquiat,1996-08-09,3011195.0,2962051.0,6.6,Drama,US
Tin Cup,1996-08-16,53854588.0,45000000.0,5.9,Comedy,US
The Godfather,1972-03-14,245066411.0,6000000.0,8.5,Drama,US
Bound,1996-09-13,7011317.0,4500000.0,6.9,Crime,US
The Island of Dr. Moreau,1996-08-23,49627779.0,40000000.0,4.6,Fantasy,US
Bulletproof,1996-09-06,22611954.0,25000000.0,5.4,Action,US
Halloween: The Curse of Michael Myers,1995-09-29,15116634.0,5000000.0,5.0,Horror,US
Singin' in the Rain,1952-04-10,7200000.0,2540800.0,7.9,Comedy,US
An American in Paris,1951-08-08,4500000.0,2723903.0,6.9,Drama,US
Breakfast at Tiffany's,1961-10-05,9500000.0,2500000.0,7.6,Comedy,US
Vertigo,1958-05-09,28000000.0,2479000.0,8.0,Mystery,US
Rear Window,1954-08-01,36764313.0,1000000.0,8.2,Drama,US
It Happened One Night,1934-02-22,4500000.0,325000.0,7.7,Comedy,US
North by Northwest,1959-07-07,13275000.0,4000000.0,7.8,Mystery,US
The Apartment,1960-06-15,25000000.0,3000000.0,8.1,Comedy,US
Some Like It Hot,1959-03-18,25000000.0,2883848.0,8.0,Comedy,US
Charade,1963-12-05,13474588.0,4000000.0,7.7,Comedy,US
Casablanca,1942-11-26,10462500.0,878000.0,7.9,Drama,US
The Maltese Falcon,1941-11-18,1000000.0,375000.0,7.8,Mystery,US
My Fair Lady,1964-10-21,72070731.0,17000000.0,7.4,Drama,US
Sabrina,1954-09-28,10000000.0,2238813.0,7.4,Comedy,US
Roman Holiday,1953-09-02,12000000.0,1500000.0,7.8,Comedy,US
The Wizard of Oz,1939-08-15,33754967.0,2777000.0,7.4,Adventure,US
Gone with the Wind,1939-12-15,400176459.0,4000000.0,7.7,Drama,US
Sunset Boulevard,1950-08-10,5000000.0,1752000.0,8.2,Drama,US
Citizen Kane,1941-04-30,23217674.0,839727.0,8.0,Mystery,US
2001: A Space Odyssey,1968-04-10,68700000.0,10500000.0,7.9,Science Fiction,US
All About Eve,1950-11-09,63463.0,1400000.0,8.0,Drama,US
The Women,1939-01-01,2270000.0,1688000.0,6.4,Comedy,US
Rebecca,1940-04-12,6000000.0,1288000.0,7.7,Drama,US
Notorious,1946-08-15,24464742.0,2000000.0,7.8,Thriller,US
Spellbound,1945-12-28,7000000.0,1500000.0,7.3,Drama,US
To Catch a Thief,1955-08-03,8750000.0,2500000.0,7.1,Crime,US
Ninotchka,1939-10-06,2279000.0,1365000.0,7.3,Comedy,US
The Adventures of Robin Hood,1938-05-13,3981000.0,2033000.0,7.6,Action,US
Laura,1944-10-11,2000000.0,1020000.0,7.6,Drama,US
Top Hat,1935-09-06,3202000.0,609000.0,7.4,Comedy,US
Giant,1956-10-10,35000000.0,5400000.0,7.5,Action,US
The Thin Man,1934-05-25,1423000.0,226408.0,7.4,Comedy,US
Around the World in Eighty Days,1956-10-17,42000000.0,6000000.0,6.5,Adventure,US
It's a Wonderful Life,1946-12-20,9644124.0,3180000.0,8.0,Drama,US
Mr. Smith Goes to Washington,1939-10-19,9600000.0,1500000.0,7.9,Comedy,US
Night of the Living Dead,1968-10-01,30000000.0,114000.0,7.5,Horror,US
The African Queen,1951-12-03,10750000.0,1300000.0,7.4,Adventure,UK
Cat on a Hot Tin Roof,1958-02-17,17570324.0,3000000.0,7.6,Drama,US
Maximum Risk,1996-09-13,51702483.0,25000000.0,5.3,Action,US
Last Man Standing,1996-09-20,47267001.0,67000000.0,6.2,Action,US
Set It Off,1996-11-06,41590886.0,9000000.0,6.9,Drama,US
Curdled,1996-09-06,49620.0,2300000.0,6.2,Comedy,US
Extreme Measures,1996-09-27,17380126.0,38000000.0,5.7,Drama,US
The Chamber,1996-10-11,22540359.0,50000000.0,5.9,Crime,US
"20,000 Leagues Under the Sea",1954-12-23,28200000.0,5000000.0,6.9,Adventure,US
Cool Runnings,1993-09-30,154864401.0,14000000.0,6.8,Comedy,US
Cinderella,1950-03-04,263591415.0,2900000.0,6.8,Family,US
The Sword in the Stone,1963-12-25,22182353.0,3000000.0,6.9,Animation,US
Robin Hood: Prince of Thieves,1991-06-14,390493908.0,48000000.0,6.6,Adventure,US
Mary Poppins,1964-08-27,102272727.0,6000000.0,7.4,Comedy,US
Dumbo,1941-10-22,1600000.0,812000.0,6.8,Animation,US
Bedknobs and Broomsticks,1971-10-07,17900000.0,20000000.0,6.8,Adventure,US
Alice in Wonderland,1951-07-03,572000000.0,3000000.0,7.0,Animation,US
The Fox and the Hound,1981-07-10,29800000.0,12000000.0,7.0,Adventure,US
The Sound of Music,1965-03-02,286214286.0,8200000.0,7.4,Drama,US
Die Hard,1988-07-15,140767956.0,28000000.0,7.5,Action,US
The Lawnmower Man,1992-03-05,32101000.0,10000000.0,5.4,Horror,UK
Secrets & Lies,1996-05-24,13417292.0,4500000.0,7.1,Drama,UK
Surviving Picasso,1996-09-04,1985001.0,16000000.0,5.3,Drama,US
The Long Kiss Goodnight,1996-10-11,89456761.0,65000000.0,6.4,Crime,US
Jude,1996-02-06,405000.0,7000000.0,6.6,Drama,UK
Romeo + Juliet,1996-10-31,147298761.0,14500000.0,6.7,Drama,US
Swingers,1996-10-18,4505922.0,200000.0,6.8,Comedy,US
Sleepers,1996-10-18,165615285.0,44000000.0,7.3,Crime,US
Willy Wonka & the Chocolate Factory,1971-06-29,4000000.0,3000000.0,7.4,Family,US
Sleeper,1973-12-17,18344729.0,2000000.0,7.0,Comedy,US
Bananas,1971-04-28,11833696.0,2000000.0,6.7,Comedy,US
A Fish Called Wanda,1988-07-15,62493712.0,7500000.0,7.1,Comedy,UK
Life of Brian,1979-08-17,20045115.0,4000000.0,7.7,Comedy,UK
The Great Race,1965-07-01,25333333.0,12000000.0,7.2,Adventure,US
Bonnie and Clyde,1967-07-18,50700000.0,2500000.0,7.6,Crime,US
Dial M for Murder,1954-05-29,3000000.0,1400000.0,7.9,Crime,US
Dirty Dancing,1987-08-21,213954274.0,6000000.0,7.1,Drama,US
Reservoir Dogs,1992-09-02,14661007.0,1200000.0,8.1,Crime,US
Platoon,1986-12-18,138530565.0,6000000.0,7.5,Drama,UK
Weekend at Bernie's,1989-07-05,30218387.0,6500000.0,6.4,Comedy,US
Basic Instinct,1992-03-20,352927224.0,49000000.0,6.5,Thriller,France
The Doors,1991-03-01,34416893.0,38000000.0,6.7,Drama,US
Glengarry Glen Ross,1992-09-15,10725228.0,12500000.0,7.5,Crime,US
Sophie's Choice,1982-12-08,30036000.0,12000000.0,7.4,Drama,UK
E.T. the Extra-Terrestrial,1982-04-03,792965326.0,10500000.0,7.3,Science Fiction,US
Days of Thunder,1990-06-27,157920733.0,60000000.0,5.9,Adventure,US
Top Gun,1986-05-16,356830601.0,15000000.0,6.7,Action,US
A Streetcar Named Desire,1951-09-18,8000000.0,1800000.0,7.6,Drama,US
The Funeral,1996-01-26,1227324.0,12500000.0,7.3,Crime,US
The People vs. Larry Flynt,1996-10-12,20300385.0,36000000.0,6.8,Drama,US
The Return of the Pink Panther,1975-05-21,41833347.0,5000000.0,6.7,Mystery,UK
Drop Dead Fred,1991-04-19,13878334.0,6788000.0,5.9,Comedy,UK
The Abyss,1989-08-09,90000098.0,70000000.0,7.1,Adventure,US
The Fog,1980-02-08,21378361.0,1000000.0,6.4,Horror,US
Escape from New York,1981-05-22,50244700.0,6000000.0,6.9,Science Fiction,US
The Howling,1981-04-03,17985893.0,1000000.0,6.4,Drama,US
Monty Python and the Holy Grail,1975-03-13,5028948.0,400000.0,7.8,Adventure,UK
Bad Moon,1996-11-01,1100000.0,7000000.0,5.7,Horror,US
Delicatessen,1991-04-17,1794187.0,4000000.0,7.4,Comedy,France
The English Patient,1996-11-14,231976425.0,27000000.0,7.0,Drama,UK
One Flew Over the Cuckoo's Nest,1975-11-18,108981275.0,3000000.0,8.3,Drama,US
The Empire Strikes Back,1980-05-17,538400000.0,18000000.0,8.2,Adventure,US
The Princess Bride,1987-09-18,30857814.0,16000000.0,7.6,Adventure,US
Raiders of the Lost Ark,1981-06-12,389925971.0,18000000.0,7.7,Adventure,US
Aliens,1986-07-18,183316455.0,18500000.0,7.7,Horror,UK
"The Good, the Bad and the Ugly",1966-12-23,6000000.0,1200000.0,8.1,Western,US
12 Angry Men,1957-03-25,1000000.0,350000.0,8.2,Drama,US
Lawrence of Arabia,1962-12-10,69995385.0,15000000.0,7.8,Adventure,UK
A Clockwork Orange,1971-12-18,26589000.0,2200000.0,8.0,Science Fiction,UK
To Kill a Mockingbird,1962-12-25,13129846.0,2000000.0,7.9,Crime,US
Apocalypse Now,1979-08-15,89460381.0,31500000.0,8.0,Drama,US
Return of the Jedi,1983-05-23,572700000.0,32350000.0,7.9,Adventure,US
GoodFellas,1990-09-12,46836394.0,25000000.0,8.2,Drama,US
Alien,1979-05-25,104931801.0,11000000.0,7.9,Horror,US
Psycho,1960-06-16,32000000.0,806948.0,8.3,Drama,US
The Blues Brothers,1980-06-17,115229890.0,27000000.0,7.5,Music,US
The Godfather: Part II,1974-12-20,47542841.0,13000000.0,8.3,Drama,US
Full Metal Jacket,1987-06-26,46357676.0,17000000.0,7.9,Drama,UK
Amadeus,1984-10-26,51973029.0,18000000.0,7.8,Drama,US
Raging Bull,1980-11-14,23000000.0,18000000.0,7.7,Drama,US
Annie Hall,1977-04-19,38251425.0,4000000.0,7.8,Comedy,US
The Right Stuff,1983-10-20,21500000.0,27000000.0,7.4,Drama,US
The Sting,1973-12-25,159616327.0,5500000.0,7.9,Comedy,US
The Terminator,1984-10-26,78371200.0,6400000.0,7.4,Action,UK
Glory,1989-12-15,26828365.0,18000000.0,7.4,War,US
Miller's Crossing,1990-09-21,5080409.0,14000000.0,7.5,Drama,US
Dead Poets Society,1989-06-02,235860116.0,16400000.0,8.1,Drama,US
The Graduate,1967-12-21,104945305.0,3000000.0,7.6,Drama,US
Touch of Evil,1958-04-23,2247465.0,829000.0,7.6,Drama,US
The Bridge on the River Kwai,1957-10-02,27200000.0,3000000.0,7.7,Drama,UK
Chinatown,1974-06-20,30000000.0,6000000.0,7.9,Crime,US
The Treasure of the Sierra Madre,1948-01-24,4307000.0,3800000.0,7.9,Action,US
The Shining,1980-05-22,44017374.0,19000000.0,8.1,Horror,US
Stand by Me,1986-08-22,52287414.0,8000000.0,7.8,Crime,US
Evil Dead II,1987-03-13,5923044.0,3600000.0,7.5,Horror,US
The Great Escape,1963-06-20,11744471.0,4000000.0,7.8,Adventure,US
The Deer Hunter,1978-12-08,50000000.0,15000000.0,7.8,Drama,UK
Groundhog Day,1993-02-11,70906973.0,14600000.0,7.4,Romance,US
Unforgiven,1992-08-07,159157447.0,14000000.0,7.7,Western,US
