list,yr_built,yr_renovated,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade
20150406,2004,0,430000.0,4,2.5,2070,4310,2.0,0,0,3,7
20150105,1986,0,212000.0,3,1.75,1060,7875,1.0,0,0,4,7
20150428,1986,0,660500.0,4,2.25,2010,9603,1.0,0,0,3,8
20140612,1989,0,784000.0,3,3.5,3950,111078,1.5,0,0,3,9
20140512,2014,0,453246.0,3,2.5,2010,2287,2.0,0,0,3,8
20150126,2005,0,675000.0,4,3.5,2140,2278,3.0,0,0,3,9
20140707,1981,0,382500.0,2,1.0,1190,4440,1.0,0,0,3,6
20140507,2014,0,519950.0,3,2.25,1170,1249,3.0,0,0,3,8
20141203,1994,0,921500.0,4,2.5,3670,315374,2.0,0,0,4,9
20140806,2007,0,430000.0,2,2.5,2420,60984,2.0,0,0,3,7
20140820,1990,0,532170.0,3,2.0,1360,3090,2.0,0,0,3,8
20150401,2006,0,2250000.0,4,3.25,5180,19850,2.0,0,3,3,12
20141120,1996,0,650000.0,5,3.5,3960,25245,2.0,0,0,3,9
20150304,2000,0,900000.0,3,2.5,3400,16603,2.0,0,0,3,10
20140620,1979,0,441000.0,3,2.75,1910,7280,1.0,0,0,3,7
20140812,1975,0,420000.0,3,2.0,2020,38332,1.0,0,0,4,7
20141208,1976,0,370000.0,3,1.75,1580,7000,1.0,0,0,3,7
20150324,1999,0,807100.0,4,2.5,2680,4499,2.0,0,0,3,9
20140605,1979,0,653000.0,3,2.5,2680,9750,1.0,0,0,4,8
20150102,1978,0,272000.0,3,1.75,2160,7140,1.0,0,0,4,7
20150116,1984,0,917500.0,4,2.5,3880,35003,2.0,0,0,3,10
20140929,1980,0,673000.0,4,2.25,2590,8190,2.0,0,0,4,8
20150210,2008,0,425000.0,3,2.5,1120,1100,2.0,0,0,3,8
20140709,1986,0,399950.0,5,2.75,1970,5400,1.0,0,0,3,7
20141117,1975,0,269950.0,3,1.5,1950,7560,1.0,0,2,4,7
20140725,1988,0,260000.0,3,2.5,1670,5797,2.0,0,0,3,7
20140723,1996,0,163500.0,2,1.5,1050,3419,2.0,0,0,3,7
20140905,1993,0,835000.0,4,2.75,3130,13412,2.0,0,0,3,9
20141121,1986,0,1095000.0,5,3.0,4090,12850,1.0,0,2,4,10
20140505,1987,0,560000.0,3,2.5,1900,8744,2.0,0,0,3,8
20141205,1975,0,585188.0,3,2.25,2230,10026,1.0,0,0,3,8
20140818,1977,0,305000.0,3,1.75,1650,9480,1.0,0,0,3,7
20140515,2003,0,256883.0,3,2.5,1690,5025,2.0,0,0,3,8
20140723,2007,0,465000.0,3,2.5,2150,4084,2.0,0,0,3,8
20150113,1997,0,440000.0,3,2.5,1910,66211,2.0,0,0,3,7
20141112,1994,0,297000.0,3,2.5,1940,14952,2.0,0,0,3,8
20140804,1976,0,226500.0,3,1.5,1300,7370,1.0,0,0,4,7
20140919,2010,0,677900.0,3,2.5,2440,4587,2.0,0,0,3,8
20150422,1993,0,320000.0,4,2.25,1550,7579,2.0,0,0,3,8
20140717,2014,0,625504.0,3,2.25,1270,1566,2.0,0,0,3,8
20140515,1983,0,592500.0,4,2.5,2240,12032,1.0,0,0,3,9
20150114,2005,0,465000.0,3,2.5,2714,17936,2.0,0,0,3,9
20140527,1978,0,477000.0,4,2.75,1720,6270,2.0,0,0,3,8
20140703,2000,0,445838.0,3,2.5,2250,5692,2.0,0,0,3,8
20140822,1999,0,686000.0,4,2.5,2760,6440,2.0,0,0,3,10
20140904,1987,0,527000.0,4,2.25,2330,19436,2.0,0,0,3,8
20140903,1994,0,328000.0,3,2.25,2020,8379,2.0,0,0,3,7
20150309,2005,0,479950.0,2,2.0,1510,6516,1.0,0,0,3,8
20140529,1978,0,264950.0,4,2.25,1720,9753,1.0,0,0,4,7
20150303,2004,0,516500.0,3,2.5,1480,4729,2.0,0,0,3,7
20141121,1978,0,315000.0,6,2.75,2940,7350,1.0,0,0,3,8
20140610,1983,0,1025000.0,5,4.0,3760,28040,2.0,0,0,3,10
20150409,1976,0,416000.0,3,2.0,2220,94300,1.0,0,0,5,7
20140701,1993,0,800000.0,3,3.5,3830,221284,2.0,0,0,3,10
20150212,1990,0,363000.0,3,2.5,2740,11872,2.0,0,0,3,9
20140929,2000,0,2400000.0,4,2.5,3650,8354,1.0,1,4,3,9
20150314,1976,0,250000.0,4,2.0,2010,7312,1.0,0,0,4,7
20140923,1978,0,260000.0,3,2.0,1810,7209,1.0,0,0,4,7
20140513,2001,0,455000.0,4,2.5,3360,7685,2.0,0,0,3,9
20150401,1991,0,415000.0,3,2.25,1510,36224,2.0,0,0,3,8
20140929,1987,0,245000.0,3,2.5,1730,7442,2.0,0,0,3,7
20150211,1974,0,315000.0,3,1.75,1580,11455,1.0,0,0,4,7
20141124,1979,0,255000.0,3,1.0,1230,10170,1.0,0,0,3,7
20140829,2006,0,693000.0,4,2.5,2460,4425,2.0,0,0,3,8
20141216,1979,0,525000.0,3,2.25,2100,40510,2.0,0,0,3,10
20140519,1988,0,290000.0,4,2.5,1700,7280,2.0,0,0,4,7
20150409,1979,0,272500.0,3,2.5,2070,9900,1.0,0,0,3,8
20150504,1982,2008,2900000.0,4,3.25,5050,20100,1.5,0,2,3,11
20141007,1989,0,1365000.0,4,4.75,5310,57346,2.0,0,0,4,11
20150320,2006,0,365000.0,3,2.5,2653,4510,2.0,0,0,3,8
20141113,2014,0,770000.0,4,2.75,3820,26300,2.0,0,0,3,9
20150505,1997,0,455000.0,4,2.5,2210,49375,1.0,0,0,3,8
20140630,2005,0,780000.0,4,2.5,3500,7048,2.0,0,0,3,9
20150410,1988,0,330000.0,3,3.0,2420,13959,1.0,0,0,4,8
20140905,1992,0,370000.0,4,2.5,2720,8666,2.0,0,0,3,9
20141017,1979,0,467000.0,5,2.25,2500,13500,1.0,0,0,3,7
20150209,1980,0,405000.0,3,1.75,1670,6720,1.0,0,0,3,7
20140702,1985,0,675000.0,5,2.25,2900,10300,1.0,0,0,3,8
20150224,1975,0,630000.0,4,1.75,2950,9025,1.0,0,2,4,8
20141022,1992,0,360000.0,4,2.5,2160,9528,2.0,0,0,3,9
20141002,1986,0,580000.0,4,3.0,3280,11060,2.0,0,0,3,8
20140710,1994,0,879000.0,4,2.5,3360,22111,2.0,0,0,3,10
20140822,1993,0,265000.0,3,2.0,1320,8959,1.0,0,0,3,7
20150304,1990,0,446500.0,3,2.5,2650,7286,2.0,0,0,3,8
20140624,2002,0,3075000.0,4,5.0,4550,18641,1.0,1,4,3,10
20140811,1998,0,335000.0,3,2.5,2440,7632,2.0,0,0,3,8
20150401,2006,0,208633.0,3,2.5,2040,3810,2.0,0,0,3,8
20140612,1984,0,610750.0,4,2.25,2180,7297,2.0,0,0,3,8
20140618,1997,0,1384000.0,4,3.25,4290,12103,1.0,0,3,3,11
20141209,1997,0,1400000.0,4,3.25,4290,12103,1.0,0,3,3,11
20141105,1979,0,305000.0,4,2.25,1950,7700,1.0,0,0,3,8
20150511,1988,0,390000.0,3,2.5,1930,64904,1.0,0,0,4,8
20140513,2013,0,819900.0,5,2.75,3150,7119,2.0,0,0,3,9
20141023,1984,0,520000.0,3,2.25,2030,16200,2.0,0,0,3,8
20140721,2003,0,230000.0,3,2.0,1450,11204,1.0,0,0,3,7
20141027,1987,0,274975.0,3,2.5,3030,45004,2.0,0,0,3,9
20140725,1977,0,790000.0,3,2.25,2370,10289,1.0,0,0,4,9
20140729,1991,0,295000.0,3,2.0,1810,10530,1.0,0,2,3,8
20141007,2003,0,260000.0,4,2.5,1960,5238,2.0,0,0,3,7
20140602,2004,0,559900.0,3,2.75,2930,5569,1.0,0,0,3,9
20141106,2010,0,684000.0,4,3.5,3040,8414,2.0,0,0,3,9
20141017,1991,0,309600.0,4,1.75,1275,20000,1.0,0,0,4,6
20140718,2002,0,552250.0,4,2.5,2580,5823,2.0,0,0,3,8
20141021,1987,0,206600.0,3,2.0,1390,13464,1.0,0,0,4,7
20150416,1973,0,387000.0,4,1.75,2500,7690,1.0,0,0,3,7
20140806,2005,0,300000.0,4,2.5,1910,4862,2.0,0,0,3,7
20140805,2000,0,679900.0,3,2.5,2440,5750,2.0,0,2,3,9
20140605,1992,0,463000.0,3,2.5,1640,29970,2.0,0,0,3,7
20140828,1978,0,380000.0,5,2.5,2760,11340,2.0,0,0,4,9
20141210,1994,0,329500.0,4,2.5,1820,7912,2.0,0,0,3,7
20140819,2013,0,604950.0,3,2.5,2110,5608,1.0,0,0,3,8
20150130,1994,0,465000.0,3,2.0,1840,40438,2.0,0,0,3,7
20150326,2002,0,673000.0,4,2.5,2990,10400,2.0,0,0,3,9
20141001,1991,0,810000.0,4,2.5,3520,15420,2.0,0,0,3,10
20150423,1989,0,785000.0,4,2.75,2440,69415,1.0,0,0,4,8
20141120,1986,0,338000.0,4,3.0,2090,7500,1.0,0,0,3,7
20141204,1993,0,280000.0,3,2.25,1430,7222,2.0,0,0,3,7
20141223,2004,0,380000.0,5,3.0,3450,9914,2.0,0,0,3,9
20140811,1994,0,297000.0,3,2.25,1450,7562,2.0,0,0,3,7
20140520,2004,0,730000.0,4,2.5,3230,7331,2.0,0,0,3,10
20141027,1997,0,275000.0,3,3.0,1590,7750,1.0,0,0,3,7
20140805,1986,0,950000.0,3,3.0,4040,14338,2.0,0,0,3,10
20150313,2001,0,389000.0,4,2.25,2130,5337,2.0,0,0,3,7
20140728,1998,0,1350000.0,5,3.5,4800,14984,2.0,0,2,3,11
20140625,1983,0,365500.0,3,2.0,1410,9600,1.0,0,0,4,7
20140515,1979,0,252350.0,3,2.0,1650,7352,1.0,0,0,3,7
20140905,1993,0,403950.0,4,2.5,2120,13780,2.0,0,0,3,8
20140917,1979,0,490000.0,3,2.75,1980,3128,2.0,0,0,4,9
20140618,2005,0,330000.0,3,2.5,1600,26977,2.0,0,0,3,8
20140728,1983,0,1118000.0,4,2.5,3840,16619,2.0,0,1,4,10
20150306,2008,0,557000.0,3,3.5,1710,2096,2.0,0,0,3,8
20140825,1974,0,360000.0,4,1.75,3730,16980,1.0,0,0,4,7
20150224,1994,0,437000.0,3,2.5,1750,22357,2.0,0,0,3,8
20140618,1994,0,322500.0,4,2.5,1820,6753,2.0,0,0,3,7
20140912,2001,0,650000.0,3,3.25,1510,2000,2.0,0,0,3,9
20140806,2001,0,450000.0,3,2.0,1290,1213,3.0,0,0,3,8
20150417,1998,0,278500.0,3,2.0,1570,5250,1.0,0,0,3,7
20150427,1995,0,364950.0,4,2.5,1930,6957,2.0,0,0,3,8
20140911,1986,0,840000.0,4,3.5,2840,40139,1.0,0,4,4,10
20150318,1991,0,268000.0,3,2.5,1550,8134,2.0,0,0,3,7
20140716,2006,0,517534.0,2,1.0,833,143947,1.0,0,0,3,5
20141104,1978,0,632925.0,3,2.5,2990,32239,2.0,0,0,4,8
20140723,1995,0,577500.0,3,2.5,2000,7251,2.0,0,0,3,9
20141223,2012,0,355000.0,3,2.25,1860,5028,2.0,0,0,3,8
20140710,1999,0,1550000.0,5,4.25,6070,171626,2.0,0,0,3,12
20141219,1988,0,538000.0,3,2.5,2250,11632,2.0,0,0,3,8
20150107,1985,0,380000.0,3,2.5,2280,10255,2.0,0,0,4,8
20150403,1996,0,245000.0,3,2.5,1530,8500,1.0,0,0,5,7
20150225,1976,0,1300000.0,3,2.0,2350,15021,1.0,0,0,4,8
20140506,1971,0,397000.0,4,2.0,1440,7680,1.0,0,0,3,7
20150512,2005,0,365000.0,3,2.5,2200,4052,2.0,0,0,3,8
20141028,1990,0,328500.0,4,3.0,2290,8250,2.0,0,0,3,9
20140908,1987,0,988000.0,4,3.0,4040,19700,2.0,0,0,3,11
20140903,2005,0,237000.0,3,2.5,1490,2138,2.0,0,0,3,7
20140919,2003,0,525000.0,4,2.5,2450,5280,2.0,0,0,3,8
20140916,1976,2014,749000.0,4,2.5,1710,9627,1.0,0,0,3,9
20140821,1983,0,722500.0,5,2.5,4870,11800,2.0,0,0,3,10
20150312,1991,0,843000.0,3,2.5,3130,8750,2.0,0,0,3,10
20140708,2000,0,438000.0,2,2.0,1270,1372,3.0,0,0,3,8
20140916,1977,0,578000.0,3,1.75,2120,10875,1.0,0,2,3,8
20140722,1974,0,196000.0,3,2.25,2070,11576,2.0,0,0,3,7
20150422,1980,0,350000.0,3,1.5,1250,219978,1.0,0,0,4,6
20141110,2005,0,1030000.0,3,2.5,3545,9816,1.0,0,0,3,10
20150319,1972,0,505000.0,3,2.0,1260,5460,1.0,0,0,3,7
20141009,1975,0,475000.0,5,2.5,2340,7200,1.0,0,0,3,7
20141105,1977,0,520000.0,3,2.25,2590,9263,1.0,0,0,5,8
20150502,1977,1999,1450000.0,3,4.5,3970,24920,2.0,0,2,3,10
20150222,1976,0,232000.0,3,1.0,1400,10403,1.0,0,0,4,6
20150421,1983,0,691100.0,3,2.75,2360,16117,1.0,0,0,4,8
20140520,2001,0,551000.0,3,2.5,2830,5802,2.0,0,0,3,9
20150108,1994,0,496500.0,3,2.5,2260,3640,2.0,0,0,3,8
20141126,1980,0,705000.0,3,3.0,1970,20978,2.0,1,3,4,9
20150128,1986,0,255000.0,3,1.75,1240,8659,1.0,0,0,5,7
20140626,2007,0,1050000.0,4,3.5,3450,7832,2.0,0,0,3,10
20150305,1989,0,348000.0,3,2.25,2570,8491,2.0,0,0,4,8
20141104,1985,0,230000.0,3,2.0,1510,3413,2.0,0,0,3,7
20141209,1988,0,359500.0,4,2.25,2390,11250,2.0,0,0,3,9
20141015,1997,0,325000.0,4,2.5,1850,7324,2.0,0,0,3,8
20150106,1993,0,342500.0,3,2.5,1810,5192,2.0,0,0,3,8
20150213,2000,0,868700.0,3,4.25,3840,6161,2.0,0,0,3,10
20141014,2000,0,1150000.0,4,3.25,4190,10259,2.0,0,0,3,11
20140811,2011,0,859900.0,4,2.75,3390,6298,2.0,0,0,3,9
20140808,2003,0,520000.0,4,2.25,1890,3006,2.0,0,0,3,7
20140711,2005,0,460000.0,3,2.5,1610,2527,2.0,0,2,3,9
20140718,1975,0,590000.0,4,2.75,2910,10650,1.0,0,2,3,8
20140603,1990,0,328500.0,3,2.5,1950,8130,2.0,0,0,4,9
20150325,1973,0,849950.0,3,3.0,2990,9773,2.0,0,0,4,8
20150410,1993,0,1385000.0,4,3.25,4860,181319,2.5,0,0,3,9
20150428,1978,0,295000.0,4,2.5,2160,7725,1.0,0,0,4,8
20140711,1998,0,1067000.0,6,3.5,4860,11793,2.0,0,0,3,11
20141216,2002,0,699900.0,4,2.75,2810,7302,2.0,0,0,3,9
20150210,1977,0,1280000.0,5,2.5,3400,9500,2.0,0,1,4,8
20150205,1987,0,370000.0,3,2.0,1680,5036,1.0,0,1,4,7
20140614,1972,0,397500.0,3,2.0,1510,6710,1.0,0,0,3,7
20140512,2004,0,490000.0,2,2.5,1230,1391,2.0,0,0,3,8
20141106,2000,0,437500.0,3,2.5,2120,4500,2.0,0,0,3,7
20150510,2003,0,650000.0,4,2.5,3180,5438,2.0,0,0,3,9
20141015,1999,0,1197350.0,4,2.5,2770,7800,2.0,0,0,3,10
20140521,1993,0,240000.0,2,1.75,1330,7200,1.0,0,0,3,7
20140612,2006,0,1485000.0,4,3.75,4030,10800,2.0,0,0,3,10
20150505,1981,0,585000.0,4,1.75,2430,7559,1.0,0,0,4,8
20150305,2005,0,480000.0,4,2.5,2600,7787,2.0,0,0,3,8
20140721,1990,0,1095000.0,5,3.5,4410,57063,2.0,0,0,4,9
20150507,2001,0,750000.0,3,2.5,2400,7745,2.0,0,0,3,9
20140805,2005,0,890000.0,4,3.25,3180,194278,2.0,0,0,3,10
20150326,2005,0,515000.0,5,3.0,2530,5105,1.0,0,0,3,8
20140620,2003,0,650000.0,4,2.5,3040,6587,2.0,0,0,3,7
20140618,2001,0,1600000.0,6,5.0,6050,230652,2.0,0,3,3,11
20141008,1984,0,662000.0,3,1.75,2500,36947,1.0,0,0,3,9
20150429,1978,0,270500.0,3,2.5,1780,7848,1.0,0,0,3,7
20150505,1978,0,200000.0,2,1.5,1360,1898,2.0,0,0,3,7
20150224,1987,0,970000.0,4,3.25,4740,76230,2.0,0,0,3,10
20150218,1971,0,204000.0,3,1.0,1040,7405,1.0,0,0,4,6
20150218,1985,0,358000.0,3,2.25,1610,6655,2.0,0,0,4,7
20150501,1979,0,452000.0,4,1.75,1570,8268,1.0,0,0,3,7
20150410,1994,0,249000.0,3,2.0,1360,6082,1.0,0,0,3,7
20150310,1999,0,346900.0,4,2.5,1970,5106,2.0,0,0,3,8
20150218,1976,0,2125000.0,3,2.5,5403,24069,2.0,1,4,4,12
20141030,2003,0,280000.0,4,2.5,1560,4350,2.0,0,0,3,7
20141013,1973,0,318888.0,4,1.75,2320,12000,1.0,0,0,4,8
20141121,1983,0,375000.0,3,2.25,2120,18500,2.0,0,0,4,8
20150422,1988,0,910000.0,4,2.5,3350,29242,2.0,0,0,3,11
20140523,1991,0,782000.0,4,2.5,2380,9614,2.0,0,0,4,10
20150319,2008,0,259950.0,2,2.0,1070,649,2.0,0,0,3,9
20140923,1979,0,315000.0,4,2.75,2300,18360,1.0,0,0,4,7
20140722,1999,0,725000.0,4,2.5,2990,29170,2.0,0,3,3,9
20150427,1973,0,750000.0,6,1.75,2750,9563,2.0,0,0,4,8
20141027,1998,0,331500.0,4,2.5,2050,10271,2.0,0,0,3,7
20141028,1978,0,460000.0,4,3.0,2230,108900,1.0,0,0,3,7
20140707,1982,0,404950.0,4,2.25,2340,217014,1.0,0,0,4,8
20141217,2014,0,880000.0,3,2.5,2870,5163,2.0,0,0,3,9
20140613,1997,0,863000.0,4,2.5,4120,22370,2.0,0,0,3,10
20140728,2008,0,435000.0,3,2.5,1840,5680,2.0,0,0,3,7
20140718,2003,0,338900.0,4,2.5,1830,5612,2.0,0,0,3,7
20150123,2004,0,720000.0,4,4.0,3200,7708,2.0,0,0,3,10
20150102,1981,0,263500.0,3,1.75,1330,9917,1.0,0,0,3,7
20141209,2009,0,266000.0,3,2.5,1805,3402,2.0,0,0,3,7
20141211,2009,0,930000.0,4,4.0,6050,84942,2.5,0,2,3,9
20150127,2004,0,530000.0,4,2.5,2320,5493,2.0,0,0,3,8
20140516,2005,0,619000.0,3,2.5,2720,6439,2.0,0,0,3,9
20141022,1975,0,439000.0,4,2.25,2060,10070,2.0,0,0,3,7
20141117,1981,0,268500.0,4,1.75,1420,7500,1.0,0,0,4,7
20140715,1985,0,330000.0,3,1.75,1510,15744,1.0,0,0,3,7
20140708,1978,0,900000.0,3,2.5,3180,12600,2.0,0,0,4,11
20140930,1985,0,370000.0,3,2.25,2110,13300,2.0,0,0,4,8
20140904,1981,0,505000.0,3,1.5,1830,217800,1.0,0,0,3,7
20150324,2006,0,290000.0,3,2.5,1610,2937,2.0,0,0,3,8
20140902,2006,0,296000.0,4,2.5,1780,3600,2.0,0,0,3,7
20150213,1996,0,360000.0,4,2.5,1840,9611,2.0,0,0,3,7
20140604,1997,0,240500.0,3,1.75,1460,10584,1.0,0,0,3,7
20140722,2007,0,372500.0,2,2.5,1400,2958,2.0,0,0,3,8
20141002,2004,0,595000.0,3,2.5,3370,14402,2.0,0,2,3,9
20141017,1997,0,515000.0,4,3.0,3590,8249,2.0,0,0,3,9
20141009,2004,0,507000.0,2,1.75,1670,6460,1.0,0,0,3,8
20150204,1984,0,399950.0,4,2.0,2420,31465,1.0,0,0,3,9
20140820,1994,0,185000.0,3,1.75,1430,10816,2.0,0,0,3,7
20140825,1980,0,460000.0,3,1.75,1440,7070,1.0,0,0,3,7
20150224,1985,0,435500.0,3,2.25,1450,4789,2.0,0,0,3,7
20140505,2000,0,531000.0,2,3.0,1270,1175,2.0,0,0,3,8
20141126,1990,0,223000.0,3,2.0,1670,6824,1.0,0,0,3,7
20150417,1996,0,590000.0,4,3.5,3100,15842,2.0,0,0,3,8
20141209,1997,0,340000.0,2,2.5,1100,1760,3.0,0,0,3,7
20140925,1990,0,533600.0,3,2.5,1930,5080,2.0,0,0,4,8
20140610,2005,0,695000.0,3,2.75,2540,4694,2.0,0,0,3,9
20140617,1988,0,242000.0,3,1.75,1280,7524,1.5,0,0,4,7
20150506,1981,0,525000.0,3,2.25,1490,9414,2.0,0,0,3,7
20140922,1988,0,485000.0,3,2.5,1880,5502,2.0,0,0,3,8
20150113,1971,0,175000.0,3,1.0,1250,9775,1.0,0,0,3,7
20140619,1983,0,210000.0,3,2.0,1440,7210,1.0,0,0,3,8
20150415,1989,0,260000.0,3,2.5,1920,7415,2.0,0,0,3,7
20140623,1976,0,577000.0,3,2.5,2060,5750,1.0,0,0,3,7
20140808,2014,0,559950.0,3,2.5,1660,1458,3.0,0,0,3,9
20140522,1983,0,480000.0,4,2.25,3250,34293,2.0,0,0,4,9
20140523,1982,0,218000.0,3,1.0,960,9633,1.0,0,0,5,6
20140624,1977,0,415000.0,3,1.75,1070,8000,1.0,0,0,3,7
20140701,1993,0,314500.0,3,2.0,2050,13303,1.0,0,0,3,8
20140728,1982,0,305000.0,4,2.5,2250,9091,1.0,0,0,3,7
20150320,1978,0,595000.0,5,2.75,3740,6750,1.0,0,0,4,8
20150512,2015,0,729500.0,3,2.5,1660,1091,3.0,0,1,3,9
20140930,2003,0,430000.0,3,2.5,2360,6699,2.0,0,0,3,7
20150409,1987,0,240000.0,3,1.75,1760,6500,1.0,0,0,3,7
20141124,1976,0,521000.0,4,1.75,2020,36400,1.0,0,0,4,8
20140723,1999,0,337000.0,3,2.5,1470,3976,2.0,0,0,3,7
20150422,1991,0,1000000.0,3,2.5,3180,10492,2.0,0,2,3,10
20150102,2001,0,748000.0,4,3.5,2770,3330,2.0,0,0,3,8
20150324,1986,0,269900.0,3,1.75,1140,22267,1.0,0,0,3,7
20140527,2004,0,312000.0,3,1.5,1255,1374,3.0,0,0,3,7
20141124,1976,0,323000.0,3,1.0,1290,12231,1.0,0,0,3,7
20141124,1986,0,331000.0,3,1.75,1300,9079,1.0,0,0,3,7
20140514,2007,0,306000.0,3,1.5,1220,1086,3.0,0,0,3,8
20140930,2002,0,655000.0,4,2.5,2630,4000,3.0,0,0,3,8
20150316,1978,0,664000.0,4,2.75,2510,11880,1.0,0,0,5,8
20140718,1975,0,497000.0,3,2.25,1870,9315,1.0,0,0,3,7
20140731,2001,0,1145000.0,4,3.5,4370,18361,2.0,0,0,3,11
20140815,1981,0,222000.0,3,2.0,1440,7187,1.0,0,0,4,7
20140528,1984,0,799000.0,4,3.0,2580,209523,2.0,0,0,3,8
20140609,2006,0,609900.0,4,2.5,3190,7399,2.0,0,0,3,10
20141016,1995,0,413000.0,4,3.5,2380,5809,2.0,0,0,4,7
20150105,2014,0,802541.0,5,2.75,2990,6768,2.0,0,0,3,9
20140519,1990,0,320000.0,3,2.5,2680,7757,2.0,0,0,3,8
20150311,2006,0,507000.0,4,2.5,2730,7649,2.0,0,0,3,7
20140721,1983,0,359900.0,4,2.25,2470,7698,2.0,0,0,3,8
20140712,1992,0,690000.0,4,2.5,2900,23488,2.0,0,0,3,9
20140625,1985,0,245000.0,3,2.0,1410,5760,1.0,0,0,3,7
20141229,1979,0,700000.0,5,2.5,2830,25958,1.0,0,1,5,8
20140922,1977,0,268000.0,4,1.75,1680,9966,1.0,0,0,3,7
20140610,1979,0,225000.0,3,1.75,1760,26055,1.0,0,0,3,7
