age,marital,education,default,balance,housing,loan,duration,campaign,pdays,previous,poutcome,deposit
36,married,tertiary,no,5057,yes,no,70,1,166,10,failure,no
34,married,tertiary,no,1265,yes,no,118,1,164,3,failure,no
48,single,tertiary,no,8106,no,no,125,1,111,3,failure,no
59,married,tertiary,no,0,no,no,90,2,110,2,failure,no
53,married,secondary,no,1364,no,no,508,1,115,1,failure,no
46,single,tertiary,no,46,no,yes,80,1,152,1,failure,no
52,married,secondary,no,5423,no,yes,93,1,115,1,failure,no
58,married,secondary,no,8332,no,no,164,2,96,4,failure,no
56,divorced,secondary,no,689,yes,no,110,1,103,4,failure,no
34,single,secondary,no,0,yes,no,214,1,174,2,failure,no
32,single,secondary,no,4344,yes,no,79,2,118,3,failure,no
54,married,secondary,no,472,yes,yes,229,2,150,1,failure,no
59,married,primary,no,252,yes,yes,138,1,175,2,failure,no
40,married,secondary,no,0,yes,no,74,2,196,1,failure,no
45,married,secondary,no,4425,no,no,147,1,110,2,failure,no
43,divorced,secondary,no,-36,yes,no,190,1,104,1,failure,no
43,married,secondary,no,0,no,yes,103,2,193,3,failure,no
55,divorced,tertiary,no,1730,no,no,89,2,118,3,failure,no
49,married,secondary,no,202,yes,no,651,2,104,1,failure,yes
49,married,tertiary,no,313,yes,no,42,2,188,2,failure,no
39,single,primary,no,419,yes,no,186,1,181,1,failure,no
42,married,tertiary,no,14282,yes,no,77,1,103,4,success,no
42,married,secondary,no,1048,yes,no,71,1,186,1,failure,no
41,married,secondary,no,112,yes,no,1081,1,131,1,failure,no
51,married,secondary,no,563,yes,no,504,1,123,3,failure,no
36,married,secondary,no,1797,yes,yes,166,1,181,2,failure,no
52,married,tertiary,no,3440,yes,no,124,1,131,1,failure,no
42,married,tertiary,no,373,no,no,174,1,154,3,failure,no
45,married,secondary,no,2020,yes,no,62,1,131,1,failure,no
35,married,secondary,no,24,yes,no,128,1,181,1,failure,no
38,married,tertiary,no,425,yes,no,240,1,181,1,failure,no
47,married,secondary,no,80,no,yes,74,1,145,1,failure,no
43,married,secondary,no,634,yes,no,65,1,131,1,failure,no
50,married,tertiary,no,830,no,no,71,1,138,2,failure,no
54,married,secondary,no,2719,yes,no,166,2,171,2,failure,no
44,married,secondary,no,0,yes,no,58,1,195,2,failure,no
51,married,tertiary,no,248,yes,yes,139,2,126,3,failure,no
51,married,secondary,no,12061,yes,no,150,1,188,1,failure,no
42,single,secondary,no,-15,no,no,89,1,145,1,failure,no
46,divorced,secondary,no,0,no,no,407,1,150,3,success,no
50,married,tertiary,no,4,no,no,223,1,96,2,failure,no
58,divorced,secondary,no,3111,yes,no,111,1,188,2,failure,no
44,married,tertiary,no,1451,yes,no,157,3,150,12,failure,no
41,married,primary,no,557,yes,no,158,1,173,1,failure,no
37,single,tertiary,no,600,yes,no,116,2,196,1,failure,no
53,married,secondary,no,350,no,yes,113,3,132,2,failure,no
53,married,secondary,no,248,no,yes,99,1,126,3,failure,no
52,married,secondary,no,1818,no,yes,189,2,111,4,failure,no
36,divorced,tertiary,no,3837,yes,no,184,1,193,1,success,no
37,married,tertiary,no,0,yes,no,65,2,119,1,failure,no
44,married,tertiary,no,58,yes,no,48,1,126,3,failure,no
32,married,secondary,no,0,yes,yes,159,2,195,2,failure,no
41,married,tertiary,no,20,yes,no,99,1,151,2,failure,no
37,married,secondary,yes,-954,yes,no,69,1,180,3,failure,no
43,married,primary,no,0,no,yes,836,1,129,2,failure,no
51,married,primary,no,230,yes,no,174,1,195,1,failure,no
56,married,tertiary,no,505,yes,yes,171,1,172,2,failure,no
38,married,secondary,no,821,yes,yes,224,2,180,1,failure,no
42,married,primary,no,275,no,no,295,2,109,9,failure,no
34,single,tertiary,no,1049,yes,no,101,2,129,1,failure,no
51,married,secondary,no,1414,yes,no,422,3,186,2,failure,no
38,married,primary,no,0,yes,no,78,2,193,2,failure,no
38,single,tertiary,no,11971,yes,no,609,2,101,3,failure,no
53,married,tertiary,no,2269,no,no,1091,2,150,1,success,yes
41,married,secondary,no,271,yes,no,148,2,172,2,failure,no
48,divorced,tertiary,no,-478,yes,no,87,5,167,6,failure,no
54,married,tertiary,no,3795,yes,yes,227,2,119,1,failure,no
55,married,secondary,no,653,yes,no,193,2,186,1,failure,no
38,single,secondary,no,1255,yes,no,151,2,171,2,failure,no
50,divorced,secondary,no,-403,no,yes,130,2,119,2,failure,no
42,married,primary,no,2636,no,no,178,2,151,1,failure,no
40,married,secondary,no,1029,yes,yes,117,2,117,3,failure,no
57,married,secondary,no,1502,no,no,340,2,109,11,failure,no
30,single,secondary,no,426,yes,no,127,4,111,6,failure,no
56,single,secondary,no,237,yes,no,117,3,131,4,failure,no
39,married,secondary,no,8,no,yes,333,2,96,2,failure,no
43,divorced,secondary,no,1043,yes,no,57,4,119,3,failure,no
42,married,secondary,no,1027,yes,no,188,2,168,2,failure,no
44,married,tertiary,no,724,yes,no,157,2,172,1,failure,no
36,married,secondary,no,0,yes,no,273,2,131,1,failure,no
40,married,secondary,no,219,yes,no,204,2,196,1,failure,no
43,married,tertiary,no,2767,yes,no,374,1,186,7,failure,no
40,married,secondary,no,1269,yes,no,353,1,172,1,failure,no
56,married,secondary,no,1150,no,yes,107,1,117,3,failure,no
37,married,secondary,no,5115,yes,no,1210,2,171,4,failure,yes
56,single,tertiary,no,1092,yes,yes,176,3,186,4,failure,no
37,married,secondary,no,121,no,yes,211,2,151,2,failure,no
58,divorced,secondary,no,644,no,yes,220,4,109,4,failure,no
45,married,secondary,no,781,no,yes,652,2,126,2,failure,yes
50,married,secondary,no,0,yes,no,114,4,168,2,failure,no
44,divorced,secondary,no,106,yes,no,17,1,175,1,failure,no
40,married,secondary,no,755,no,no,408,1,117,1,failure,no
43,married,tertiary,no,1201,yes,yes,82,1,97,3,failure,no
40,married,tertiary,no,3059,yes,yes,41,1,182,1,failure,no
36,married,primary,no,4324,yes,no,139,4,127,4,failure,no
44,married,tertiary,no,756,yes,no,65,1,130,2,failure,no
37,married,secondary,no,723,yes,no,119,1,110,2,failure,no
37,married,secondary,no,195,yes,no,68,1,194,2,failure,no
42,married,tertiary,no,2249,yes,no,228,1,125,5,failure,no
53,married,secondary,no,137,no,yes,52,1,176,1,failure,no
44,married,secondary,no,10888,yes,no,67,1,105,1,failure,no
41,married,secondary,no,4320,yes,no,164,1,166,2,failure,no
41,married,primary,no,1461,yes,no,290,1,165,2,success,no
48,married,secondary,no,4415,yes,no,271,1,102,6,failure,no
56,married,secondary,no,589,yes,no,208,1,26,3,success,no
42,single,secondary,no,-247,yes,yes,104,2,28,2,success,no
37,married,secondary,no,0,yes,no,173,1,179,6,failure,no
35,single,secondary,no,5260,yes,no,59,1,182,2,failure,no
33,single,secondary,no,1769,yes,no,273,1,182,1,failure,no
46,married,tertiary,no,4301,yes,yes,50,1,183,2,failure,no
46,married,secondary,no,68,yes,yes,111,2,155,3,failure,no
36,divorced,secondary,no,454,yes,no,165,1,131,1,failure,no
32,single,secondary,no,53,yes,no,276,1,195,1,failure,no
38,single,tertiary,no,1515,yes,no,134,1,110,5,failure,no
37,single,tertiary,no,561,no,no,188,1,165,2,failure,no
59,married,secondary,no,2429,no,yes,79,2,182,7,failure,no
40,divorced,secondary,no,1155,no,yes,175,1,138,1,failure,no
59,married,primary,no,14,yes,yes,319,2,182,1,failure,no
36,single,tertiary,no,0,no,yes,300,1,96,4,failure,no
51,married,primary,no,1194,yes,no,714,1,186,3,failure,no
45,single,secondary,no,91,no,yes,149,1,127,2,failure,no
38,single,tertiary,no,427,yes,no,253,1,182,1,failure,no
42,married,secondary,no,1958,yes,no,129,1,172,3,failure,no
30,single,tertiary,no,3,yes,no,54,1,195,1,failure,no
51,married,tertiary,no,146,no,no,150,2,126,3,failure,no
37,married,tertiary,no,3770,yes,no,106,1,110,4,failure,no
41,married,secondary,no,446,yes,no,296,1,186,1,success,no
30,single,secondary,no,4787,yes,no,266,1,167,2,failure,no
36,married,secondary,no,1345,yes,no,82,1,172,3,failure,no
58,married,tertiary,no,0,yes,no,265,1,188,1,failure,no
42,married,primary,no,2273,yes,no,253,1,112,2,failure,no
41,married,secondary,no,1100,yes,no,397,1,173,2,failure,no
43,married,secondary,no,764,yes,no,164,5,127,5,failure,no
48,married,secondary,no,2877,yes,no,77,1,168,1,failure,no
30,single,secondary,yes,-305,no,yes,37,1,96,6,failure,no
43,single,secondary,yes,685,yes,no,78,1,110,2,failure,no
34,single,secondary,no,10,no,yes,162,1,173,3,failure,no
44,married,primary,no,1880,yes,no,34,1,124,6,failure,no
36,married,tertiary,no,0,yes,no,103,1,175,2,failure,no
33,married,secondary,no,596,yes,no,77,1,127,3,failure,no
47,married,secondary,no,829,yes,yes,48,1,188,1,failure,no
47,married,secondary,no,3237,yes,no,38,1,187,3,failure,no
35,married,secondary,no,222,yes,no,233,1,190,6,failure,no
39,married,secondary,no,3732,yes,no,515,1,181,2,failure,no
39,married,tertiary,no,585,yes,no,48,1,181,3,failure,no
31,single,secondary,no,2038,yes,no,239,1,182,1,failure,no
37,single,tertiary,no,1316,yes,no,389,1,172,2,failure,no
50,married,secondary,no,-353,yes,yes,162,1,175,2,failure,no
39,divorced,tertiary,no,5009,yes,no,255,1,126,2,failure,no
56,divorced,secondary,no,0,no,no,100,1,154,2,failure,no
30,divorced,secondary,no,83,yes,yes,118,2,196,1,failure,no
45,married,primary,no,147,yes,no,226,1,168,2,failure,no
33,married,secondary,no,157,yes,no,110,1,182,1,failure,no
45,married,secondary,no,3395,yes,no,92,1,188,1,failure,no
37,single,secondary,no,690,yes,no,105,1,179,2,failure,no
37,single,secondary,no,54,yes,no,328,2,131,1,failure,no
40,single,secondary,no,326,yes,no,124,1,175,1,failure,no
38,married,secondary,no,-288,yes,yes,68,1,165,2,failure,no
41,married,secondary,no,2123,no,no,232,1,102,2,failure,no
44,married,secondary,no,1901,no,no,143,3,104,2,failure,no
41,married,secondary,no,1954,no,no,65,1,110,2,success,no
45,single,tertiary,no,16,no,no,100,1,110,2,failure,no
45,married,secondary,no,1678,yes,no,187,1,154,1,failure,no
34,divorced,tertiary,no,5754,yes,no,32,1,181,1,failure,no
52,divorced,secondary,no,2717,no,no,114,1,162,2,failure,no
43,single,primary,no,103,yes,no,53,1,183,5,failure,no
37,married,primary,no,5427,no,no,201,1,159,1,failure,no
37,single,tertiary,no,1743,yes,no,192,1,113,2,failure,no
48,married,primary,no,1092,no,yes,79,1,172,8,failure,no
35,married,tertiary,no,4943,yes,no,295,1,124,2,failure,no
42,married,tertiary,no,2110,no,yes,67,1,110,2,failure,no
34,married,tertiary,no,63,no,no,83,1,102,2,failure,no
32,single,secondary,no,118,yes,no,216,1,124,1,success,no
50,single,tertiary,no,21,yes,no,157,1,188,1,failure,no
30,married,tertiary,no,900,no,no,123,1,124,2,failure,no
55,married,secondary,no,3546,yes,yes,588,1,110,2,failure,no
32,married,tertiary,no,1667,yes,no,164,2,179,3,failure,no
32,single,secondary,no,2251,yes,yes,131,1,124,1,failure,no
44,married,secondary,no,533,yes,no,127,1,110,2,failure,no
36,married,secondary,no,2894,yes,no,91,1,124,1,failure,no
34,married,tertiary,no,11,yes,no,123,1,124,1,failure,no
32,married,tertiary,no,3107,yes,yes,165,2,116,1,failure,no
48,married,secondary,no,3008,yes,yes,163,1,187,3,failure,no
48,single,tertiary,no,648,yes,no,290,1,110,2,failure,no
39,married,secondary,no,173,yes,no,96,2,182,2,failure,no
47,single,secondary,no,19,yes,yes,90,2,123,1,failure,no
52,married,tertiary,no,297,yes,no,62,2,195,1,failure,no
59,divorced,secondary,no,797,yes,no,319,2,165,2,failure,no
38,married,tertiary,no,678,no,yes,82,2,152,1,failure,no
54,married,secondary,no,506,yes,no,172,2,104,2,failure,no
51,married,tertiary,no,-516,yes,no,120,2,187,2,failure,no
47,married,primary,no,1533,no,yes,273,2,96,4,failure,no
34,married,primary,no,500,yes,no,240,2,182,1,failure,no
30,married,secondary,no,246,yes,no,166,2,113,5,failure,no
43,single,tertiary,no,-56,yes,no,146,2,151,14,failure,no
52,married,secondary,no,2257,yes,no,102,2,188,1,failure,no
36,married,secondary,no,402,no,yes,86,2,154,1,failure,no
39,married,secondary,no,517,yes,no,387,3,196,2,failure,no
45,single,tertiary,no,5694,yes,no,145,2,193,2,failure,no
54,married,tertiary,no,368,no,no,74,2,110,4,failure,no
36,single,secondary,no,296,no,no,67,2,111,2,failure,no
38,married,secondary,no,508,yes,no,722,3,175,2,failure,no
44,married,secondary,no,2626,yes,no,170,2,188,3,failure,no
59,married,primary,no,124,yes,no,531,3,134,7,failure,no
40,single,secondary,no,2854,yes,no,354,2,169,1,failure,no
30,divorced,secondary,no,0,yes,yes,174,2,111,3,failure,no
42,single,tertiary,no,1113,yes,yes,89,2,162,12,failure,no
33,married,tertiary,no,1522,yes,no,171,2,179,3,failure,no
44,married,secondary,no,-236,yes,no,218,2,113,7,success,no
36,single,tertiary,no,3560,no,no,658,3,169,2,failure,no
42,divorced,secondary,no,898,yes,no,136,2,131,1,failure,no
36,divorced,secondary,no,556,yes,no,154,3,189,1,failure,no
53,married,secondary,no,1066,yes,no,110,1,186,3,failure,no
52,married,tertiary,no,5350,yes,yes,68,2,110,4,success,no
40,married,secondary,no,7313,yes,no,241,2,182,1,failure,no
30,single,tertiary,no,0,yes,no,342,2,174,1,failure,no
45,married,secondary,no,1550,yes,no,143,2,166,6,failure,no
38,married,secondary,no,4392,no,no,23,2,110,2,failure,no
33,married,secondary,no,328,yes,no,160,2,182,1,failure,no
51,married,tertiary,no,1612,yes,no,61,2,131,1,failure,no
33,married,tertiary,no,17455,yes,yes,168,3,179,4,failure,no
32,married,secondary,no,491,yes,no,131,3,194,2,failure,no
32,married,secondary,no,3839,yes,no,100,2,189,1,failure,no
40,single,secondary,no,9916,no,no,411,3,8,1,failure,no
56,married,secondary,no,728,no,no,163,2,110,15,failure,no
32,married,secondary,no,6217,yes,yes,486,2,181,2,failure,no
41,married,secondary,no,1327,yes,yes,425,2,176,2,failure,no
36,married,secondary,no,-179,yes,no,476,2,124,1,failure,no
46,married,secondary,no,942,no,no,240,3,119,2,failure,no
34,married,secondary,no,3990,yes,no,591,2,117,7,failure,no
34,single,tertiary,no,2047,yes,no,72,2,113,5,failure,no
30,married,tertiary,no,1185,yes,no,342,2,120,4,failure,no
30,single,secondary,no,2802,no,yes,285,2,137,2,failure,no
43,married,secondary,no,508,yes,no,200,1,172,1,failure,no
51,single,tertiary,no,6030,yes,no,157,2,110,3,failure,no
45,divorced,secondary,no,-14,no,no,39,2,127,3,failure,no
46,divorced,tertiary,no,6269,yes,no,249,3,112,2,failure,no
30,married,secondary,no,1131,yes,yes,189,1,144,5,failure,no
40,divorced,secondary,no,399,yes,yes,166,3,96,2,failure,no
46,divorced,secondary,no,864,yes,no,105,5,188,2,failure,no
31,single,tertiary,no,3142,yes,no,235,1,123,1,failure,no
53,married,secondary,no,1139,yes,no,180,1,186,6,failure,no
48,married,primary,no,214,yes,yes,246,1,162,1,failure,no
34,married,secondary,no,1412,yes,yes,149,1,175,2,failure,no
35,married,secondary,no,2019,yes,yes,83,2,144,1,failure,no
31,married,tertiary,no,1164,yes,yes,141,2,123,3,failure,no
36,married,tertiary,no,369,no,no,193,4,102,2,failure,no
45,married,secondary,no,17,yes,no,66,1,152,14,failure,no
31,married,secondary,no,355,yes,no,530,1,193,1,failure,no
51,married,primary,no,106,yes,no,366,3,110,2,failure,no
30,married,secondary,no,-306,yes,yes,372,1,186,1,failure,no
44,married,secondary,no,1106,yes,no,178,5,119,11,failure,no
41,married,tertiary,no,171,yes,no,209,1,191,4,failure,no
58,married,tertiary,no,8014,yes,no,697,2,184,3,failure,no
55,divorced,secondary,no,4053,no,no,113,1,166,2,failure,no
32,single,tertiary,no,1583,yes,no,100,1,182,1,failure,no
42,married,tertiary,no,412,yes,no,142,4,169,5,failure,no
30,married,tertiary,no,314,no,no,364,2,175,2,success,no
37,married,secondary,no,7957,no,no,706,1,111,2,failure,no
32,divorced,secondary,no,1156,yes,no,81,1,182,1,failure,no
39,single,tertiary,no,1682,yes,no,147,1,170,1,failure,no
31,single,tertiary,no,3625,yes,no,112,1,180,2,failure,no
32,single,secondary,no,1721,yes,no,184,2,182,2,failure,no
45,married,secondary,no,38,yes,no,159,1,188,2,failure,no
33,single,tertiary,no,541,yes,yes,140,1,182,1,failure,no
30,single,tertiary,no,54,yes,yes,192,1,177,3,failure,no
31,married,tertiary,no,4924,yes,no,316,1,182,2,failure,no
54,married,tertiary,no,6525,yes,no,133,1,170,3,failure,no
33,married,tertiary,no,3696,no,no,305,1,182,3,failure,no
48,married,secondary,no,1811,yes,no,137,4,111,3,failure,no
33,married,tertiary,no,0,yes,no,295,1,170,1,failure,no
32,married,secondary,no,2089,yes,no,192,1,5,1,success,no
40,married,tertiary,no,12409,yes,no,140,1,99,2,failure,no
52,married,secondary,no,424,no,no,143,1,154,3,failure,no
31,single,secondary,no,1186,yes,no,174,1,180,1,failure,no
35,married,tertiary,no,2801,yes,no,70,2,111,2,failure,no
32,single,tertiary,no,2667,yes,no,197,1,99,2,success,no
30,single,secondary,no,382,yes,no,369,1,191,1,failure,no
32,married,tertiary,no,964,yes,no,130,1,120,2,failure,no
36,married,secondary,no,189,yes,no,136,1,120,1,failure,no
52,married,secondary,no,-201,no,yes,905,1,133,2,failure,no
45,divorced,secondary,no,644,yes,no,418,1,168,1,success,yes
43,married,tertiary,no,13044,no,no,215,1,93,4,failure,no
35,divorced,tertiary,no,771,yes,yes,110,1,93,5,failure,no
39,married,secondary,no,3494,yes,no,139,1,92,4,failure,no
49,married,tertiary,no,6613,no,no,106,1,155,3,failure,no
34,married,secondary,no,360,yes,no,46,1,182,2,failure,no
33,married,secondary,no,1234,no,no,109,1,10,1,failure,no
45,divorced,secondary,no,1309,yes,no,298,1,170,2,failure,no
30,single,tertiary,no,234,yes,no,206,1,169,2,failure,no
32,single,tertiary,no,1611,yes,no,175,1,180,2,failure,no
40,married,tertiary,no,2977,yes,no,375,1,125,1,failure,no
46,married,secondary,no,15,yes,yes,46,2,91,3,failure,no
30,single,secondary,yes,447,no,no,426,2,189,6,failure,no
34,married,primary,no,2490,yes,no,185,2,180,1,failure,no
46,married,tertiary,no,2421,no,no,1084,1,100,4,failure,yes
40,married,primary,no,4608,yes,no,111,2,156,1,failure,no
53,married,tertiary,no,1452,no,yes,442,2,113,3,failure,no
38,married,secondary,no,4030,yes,no,75,2,177,5,failure,no
32,divorced,secondary,no,18,no,no,20,1,177,1,failure,no
40,married,secondary,no,260,no,no,52,1,152,6,failure,no
35,single,tertiary,no,538,yes,yes,308,1,195,9,failure,no
32,married,secondary,no,524,no,no,100,1,106,1,failure,no
33,married,tertiary,no,-103,yes,no,149,2,175,1,failure,no
33,single,tertiary,no,201,yes,no,171,1,183,1,failure,no
39,married,secondary,no,1444,no,no,100,1,117,8,success,no
44,married,primary,no,1161,yes,no,402,1,184,5,failure,no
59,married,primary,no,935,yes,no,103,3,166,2,failure,no
45,single,secondary,no,142,no,yes,258,1,105,4,failure,no
37,married,secondary,no,1165,yes,no,62,3,190,4,success,no
58,divorced,primary,no,8218,yes,no,141,2,111,10,failure,no
42,married,secondary,no,3211,no,no,87,2,111,1,failure,no
41,single,secondary,no,2184,no,no,98,1,153,2,failure,no
40,married,secondary,no,0,yes,no,332,1,183,1,failure,no
43,divorced,secondary,no,6835,no,no,187,1,152,2,failure,no
44,single,secondary,no,1195,yes,no,187,6,188,9,failure,no
58,married,primary,no,630,yes,no,59,1,174,1,failure,no
43,married,tertiary,no,1993,no,no,37,1,174,1,failure,no
58,married,secondary,no,590,no,yes,136,1,167,1,failure,no
39,married,secondary,no,6012,no,no,140,1,119,2,failure,no
52,married,secondary,no,7225,no,no,205,2,113,2,failure,no
54,divorced,tertiary,no,1323,no,no,83,1,152,4,failure,no
53,married,secondary,no,2818,yes,no,131,1,126,7,failure,no
48,married,secondary,no,-202,yes,yes,565,1,112,4,failure,no
59,married,secondary,no,32948,no,no,243,1,174,2,failure,no
33,married,secondary,no,2,yes,yes,17,5,198,1,failure,no
44,divorced,tertiary,no,2279,no,yes,105,1,146,1,failure,no
47,divorced,secondary,no,1939,yes,no,150,1,174,1,failure,no
45,married,secondary,no,2926,yes,yes,482,3,120,2,failure,no
42,married,tertiary,no,783,yes,no,77,2,128,3,failure,no
30,married,primary,no,1101,yes,yes,779,2,175,1,failure,no
59,married,secondary,no,2291,no,yes,190,1,128,3,failure,no
46,married,primary,no,8873,yes,no,172,1,118,2,failure,no
40,married,secondary,no,657,yes,no,178,1,112,2,failure,no
37,married,primary,no,253,yes,no,59,2,153,2,failure,no
33,married,tertiary,no,6138,yes,no,384,1,183,1,failure,no
55,married,secondary,no,3948,no,no,149,1,170,2,failure,no
46,divorced,secondary,no,3354,yes,no,522,1,174,1,success,yes
45,married,secondary,no,830,no,no,180,1,111,2,failure,no
33,single,secondary,no,4,yes,no,136,2,180,2,failure,no
47,married,secondary,no,351,yes,yes,174,1,174,1,failure,no
35,married,secondary,no,86,no,no,127,1,111,2,failure,no
40,married,secondary,no,4853,no,no,259,1,111,2,failure,no
38,single,secondary,no,884,yes,yes,295,1,111,2,failure,no
59,married,primary,no,741,no,no,194,2,152,2,failure,no
34,married,tertiary,no,4958,yes,no,175,1,183,1,failure,no
46,single,tertiary,no,1410,yes,no,93,1,189,8,failure,no
36,married,tertiary,no,16430,yes,no,234,1,166,3,failure,no
52,divorced,secondary,no,1291,yes,no,559,1,169,2,failure,no
57,married,secondary,no,5935,yes,yes,90,2,198,1,failure,no
35,married,secondary,no,3187,yes,no,171,2,183,1,failure,no
59,married,primary,no,2769,yes,no,104,1,131,2,failure,no
33,married,primary,no,3512,yes,no,251,1,183,2,failure,no
56,married,primary,no,444,yes,no,88,1,166,1,failure,no
38,married,tertiary,no,5432,yes,yes,408,1,183,1,failure,no
40,married,secondary,no,67,no,yes,359,2,152,5,failure,no
37,married,primary,no,3574,yes,no,178,1,170,2,failure,no
36,single,tertiary,no,2622,no,no,640,1,127,5,failure,no
50,married,secondary,no,2910,no,no,433,1,113,1,failure,no
38,married,primary,no,2240,yes,no,551,1,183,1,failure,no
37,married,secondary,no,5902,yes,no,191,1,180,4,failure,no
34,married,tertiary,no,899,yes,no,377,3,7,4,success,no
50,married,secondary,no,167,no,yes,47,1,133,1,failure,no
54,divorced,tertiary,no,2272,yes,no,88,1,189,1,failure,no
56,divorced,secondary,no,-429,no,yes,120,2,119,4,failure,no
43,married,primary,no,8167,yes,no,202,2,184,2,failure,no
37,single,tertiary,no,5340,yes,no,101,2,104,4,failure,no
53,single,secondary,no,2430,yes,yes,73,2,145,3,failure,no
40,single,secondary,no,664,no,no,188,2,121,2,success,no
50,married,tertiary,no,-470,yes,no,130,2,160,1,failure,no
30,married,tertiary,no,2451,yes,no,191,2,175,1,failure,no
58,divorced,primary,no,2538,yes,no,680,2,111,6,failure,yes
54,married,secondary,no,2626,no,no,221,2,190,2,failure,no
47,married,secondary,no,3696,yes,no,635,3,170,2,failure,no
39,married,tertiary,no,12855,yes,no,108,4,173,1,failure,no
39,single,tertiary,no,633,no,no,105,2,133,3,failure,no
50,married,tertiary,no,1784,no,no,1184,3,160,1,failure,no
39,divorced,tertiary,no,1315,yes,no,1337,4,126,1,failure,no
33,single,tertiary,no,923,yes,no,1307,3,173,6,failure,no
45,married,tertiary,no,7154,yes,no,93,3,111,3,failure,no
59,married,primary,no,0,no,no,207,2,153,1,failure,no
53,married,tertiary,no,2578,no,no,299,4,107,2,failure,no
37,married,secondary,no,510,yes,no,67,2,90,6,failure,no
54,married,primary,no,277,yes,no,300,5,170,3,failure,no
39,divorced,tertiary,no,4692,yes,no,214,2,174,2,success,no
39,married,secondary,no,4136,yes,no,194,2,170,3,failure,no
31,married,secondary,no,395,no,no,196,3,117,3,failure,no
33,married,tertiary,no,621,no,no,1435,3,99,5,failure,no
49,married,secondary,no,4259,no,no,146,3,111,7,failure,no
40,married,tertiary,no,3352,yes,no,639,2,27,1,success,yes
35,married,tertiary,no,552,yes,yes,314,2,124,1,failure,no
35,married,primary,no,31,no,yes,131,3,133,3,failure,no
44,married,secondary,no,6491,yes,no,126,2,174,1,failure,no
45,married,tertiary,no,3689,yes,no,517,2,187,3,failure,no
44,single,primary,no,1593,yes,no,201,2,174,3,success,no
37,married,secondary,no,5287,yes,yes,599,4,100,2,failure,no
55,married,tertiary,no,625,no,no,88,2,147,4,failure,no
38,married,tertiary,no,898,yes,no,80,5,198,2,failure,no
35,married,tertiary,no,867,yes,no,298,2,171,3,success,no
31,married,tertiary,no,1224,yes,yes,75,2,119,2,success,no
44,married,tertiary,no,0,yes,yes,286,6,191,2,failure,no
30,divorced,secondary,no,3100,yes,no,125,1,183,4,failure,no
32,married,secondary,no,344,yes,no,179,1,197,1,failure,no
35,divorced,tertiary,no,146,no,no,392,2,106,2,success,no
32,married,tertiary,no,4654,yes,yes,276,1,128,2,failure,yes
34,single,secondary,no,296,no,no,68,1,136,4,failure,no
55,married,secondary,no,12159,yes,no,142,2,174,2,failure,no
38,single,tertiary,no,5122,yes,no,370,1,184,1,failure,no
34,single,tertiary,no,673,yes,yes,271,1,184,1,failure,no
37,married,primary,no,8135,yes,no,358,1,184,1,failure,no
41,married,primary,no,2562,yes,no,157,1,189,4,failure,no
41,single,tertiary,no,195,no,no,125,1,167,2,failure,no
34,married,secondary,no,3119,yes,no,505,1,183,4,failure,no
35,single,tertiary,no,935,yes,no,71,1,176,2,failure,no
30,married,primary,no,5956,yes,yes,405,1,139,1,failure,no
34,married,secondary,no,3185,yes,no,93,1,191,1,failure,no
